curator_name,curator_url,playlist_name,playlist_url,followers,total_tracks,description,unique_artists,avg_artist_popularity,avg_artist_followers,primary_genres,primary_genre_diversity,all_genres,all_genre_diversity
Filtr US,https://open.spotify.com/user/myplay.com,Relax and Discover | Chill Soft Pop,https://open.spotify.com/playlist/07fouBE2kZPmvOcZ5zPh7y,35438,251,"Relaxing doesn’t mean falling behind. Chill out with Hozier, Luke Combs + more. | Indie Folk Indie-Folk Adult Contemporary Hot AC Alternative Soft Pop | Cover: Mitchell Tenpenny",205,54.145390070921984,2330546.0,"['Blues', 'Classical', 'Country', 'Easy Listening', 'Electronic', 'Folk', 'Hip Hop', 'Jazz', 'Pop', 'R&B & Soul', 'Regional', 'Religious', 'Rock', 'Traditional Folk']",14,"['afro house', 'afro r&b', 'afrobeat', 'afrobeats', 'afropop', 'alt country', 'alternative r&b', 'alté', 'americana', 'art pop', 'bachata', 'banda', 'baroque pop', 'bedroom pop', 'bluegrass', 'blues', 'blues rock', 'chillwave', 'christian', 'christian country', 'christian folk', 'christian pop', 'christmas', 'classic country', 'classic soul', 'classical', 'corrido', 'corridos bélicos', 'country', 'country rock', 'dark r&b', 'deep house', 'dembow', 'dream pop', 'folk', 'folk pop', 'folk rock', 'free jazz', 'future bass', 'honky tonk', 'indie', 'indie folk', 'indie pop', 'indie r&b', 'indie rock', 'indonesian r&b', 'latin alternative', 'latin folk', 'latin hip hop', 'latin indie', 'latin pop', 'latin rock', 'lo-fi indie', 'melodic bass', 'melodic house', 'melodic techno', 'merengue', 'mexican hip hop', 'modern blues', 'motown', 'música mexicana', 'neoclassical', 'neoperreo', 'new age', 'newgrass', 'norteño', 'norwegian pop', 'opera', 'orchestral', 'outlaw country', 'pop country', 'progressive rock', 'r&b', 'red dirt', 'retro soul', 'rock en español', 'salsa', 'sexy drill', 'sierreño', 'soft pop', 'soul', 'soul blues', 'southern gothic', 'stutter house', 'surf rock', 'swedish pop', 'texas country', 'traditional country', 'uk garage', 'uk r&b', 'villancicos']",91
Filtr US,https://open.spotify.com/user/myplay.com,Upbeat Christmas Classics 🎄,https://open.spotify.com/playlist/0BNWcx0NYbeOaqyiNlMYpE,12307,160,Christmas | Christmas Songs | Classic Christmas | Christmas Classics | Xmas | Vintage Christmas | Holiday Music | Holiday | Holiday Songs | Best Christmas | Traditional Christmas | Old Christmas | Christmas Oldies,122,69.83248730964468,8808399.472081218,"['Classical', 'Country', 'Easy Listening', 'Electronic', 'Folk', 'Hip Hop', 'Jazz', 'Pop', 'R&B & Soul', 'Regional', 'Rock', 'Traditional Folk']",12,"['acoustic country', 'acoustic pop', 'adult standards', 'art pop', 'baroque pop', 'big band', 'bolero', ""children's music"", 'christian country', 'christmas', 'classic country', 'classic soul', 'comedy', 'contemporary r&b', 'country', 'country rock', 'disco', 'east coast hip hop', 'electro swing', 'hip hop', 'honky tonk', 'jazz', 'jazz blues', 'motown', 'musicals', 'neo soul', 'new jack swing', 'nightcore', 'old school hip hop', 'orchestral', 'outlaw country', 'polka', 'pop', 'pop country', 'quiet storm', 'r&b', 'rap', 'reggae', 'rock and roll', 'rockabilly', 'sexy drill', 'singer-songwriter', 'soft pop', 'soft rock', 'soul', 'southern hip hop', 'swing music', 'traditional country', 'trap', 'trap soul', 'variété française', 'villancicos', 'vocal jazz']",53
Filtr US,https://open.spotify.com/user/myplay.com,Christmas Country Classics 🎄,https://open.spotify.com/playlist/0BbSD5DoiacoEglRy7oVjQ,393,150,Country Christmas | Christmas Songs | Christmas Music | Country Music | Southern | Country Songs | Country Hits | 2025 | Christmas | Holiday,93,60.94736842105263,2382340.831578947,"['Classical', 'Country', 'Easy Listening', 'Folk', 'Jazz', 'R&B & Soul', 'Regional', 'Rock', 'Traditional Folk']",9,"['acoustic country', 'adult standards', 'alt country', 'americana', 'big band', 'bluegrass', 'christian country', 'christmas', 'classic country', 'classic soul', 'classical', 'comedy', 'country', 'country rock', 'exotica', 'folk', 'folk rock', 'honky tonk', 'newgrass', 'northern soul', 'orchestral', 'outlaw country', 'pop country', 'rock and roll', 'rockabilly', 'rocksteady', 'roots rock', 'singer-songwriter', 'ska', 'soft rock', 'southern gospel', 'traditional country', 'villancicos', 'vocal jazz']",34
Filtr US,https://open.spotify.com/user/myplay.com,GETTING READY  🎀💄,https://open.spotify.com/playlist/0J6Afuxzt2Vk8YErKl1aVR,36390,206,"Pregame, get ready with me, halloween, halloweekend, GRWM, hype songs, hot girl era, THAT girl, IT girl, glow up, self care, Tate McRae, Beyonce,  Tyla, Doja Cat, SZA",106,81.64822134387352,26182005.4743083,"['Country', 'Electronic', 'Hip Hop', 'Pop', 'R&B & Soul', 'Regional', 'Rock', 'Traditional Folk']",8,"['afrobeats', 'alternative r&b', 'art pop', 'ballroom vogue', 'bedroom pop', 'christmas', 'classic country', 'country', 'dancehall', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip house', 'hyperpop', 'indie soul', 'k-pop', 'latin pop', 'old school hip hop', 'pop', 'pop soul', 'r&b', 'rage rap', 'ragga', 'rap', 'reggae', 'riddim', 'shatta', 'soca', 'soft rock', 'southern hip hop', 'stutter house', 'trap', 'uk r&b', 'west coast hip hop']",34
Filtr US,https://open.spotify.com/user/myplay.com,TikTok songs you can't get out of your head | 2025 TikTok songs & viral hits,https://open.spotify.com/playlist/0JFatPoPq82gNcPa4esOzj,1143339,102,tiktok songs tik tok songs viral hits tiktok music tik tok music | cover: Tyla,94,81.41538461538461,17863546.715384614,"['Electronic', 'Folk', 'Hip Hop', 'Pop', 'R&B & Soul', 'Regional', 'Rock', 'Traditional Folk']",8,"['afrobeats', 'alternative r&b', 'art pop', 'banda', 'bedroom pop', 'christmas', 'corrido', 'corridos bélicos', 'corridos tumbados', 'dark r&b', 'dembow belico', 'disco', 'electro corridos', 'funk', 'hip hop', 'hyperpop', 'indie', 'indie soul', 'indonesian r&b', 'italo dance', 'k-pop', 'latin', 'melodic rap', 'música mexicana', 'neo-psychedelic', 'pop', 'pop soul', 'r&b', 'rage rap', 'rap', 'reggaeton', 'sad sierreño', 'sexy drill', 'sierreño', 'southern hip hop', 'trap', 'trap latino', 'trap soul', 'urbano latino', 'west coast hip hop']",40
Filtr US,https://open.spotify.com/user/myplay.com,1950s Christmas Classics,https://open.spotify.com/playlist/0LTwFpF7LPnXteJ5wFtckx,19,80,Classic Christmas | 50s Christmas | Vintage Christmas | Old Christmas | Christmas | Holiday | Christmas Oldies | Nostalgic Christmas | Christmas Songs | Christmas Music | Best Christmas | 1940s | 1950s | 1960s | Classic,50,57.15094339622642,1623549.7735849055,"['Classical', 'Country', 'Easy Listening', 'Jazz', 'Pop', 'R&B & Soul', 'Regional', 'Religious', 'Rock', 'Traditional Folk']",10,"['adult standards', 'bhajan', 'big band', 'calypso', ""children's music"", 'choral', 'christmas', 'classic country', 'cool jazz', 'devotional', 'doo-wop', 'easy listening', 'exotica', 'gregorian chant', 'jazz', 'jazz blues', 'musicals', 'orchestral', 'rock and roll', 'rockabilly', 'schlager', 'sea shanties', 'swing music', 'traditional country', 'villancicos', 'vocal jazz']",26
Filtr US,https://open.spotify.com/user/myplay.com,Christmas Music 2025,https://open.spotify.com/playlist/0RB7cwb9JoTTiGaXO4V0jQ,678,263,"All your Christmas favorites by Mariah Carey, Pentatonix, Elvis, Wham!, John Legend, Kelly Clarkson, and Andy Williams.",140,69.70287539936102,4768597.380191693,"['Classical', 'Country', 'Easy Listening', 'Folk', 'Hip Hop', 'Jazz', 'Metal', 'Pop', 'R&B & Soul', 'Regional', 'Religious', 'Rock', 'Traditional Folk']",13,"['acoustic country', 'adult standards', 'alt country', 'americana', 'art pop', 'art rock', 'baroque pop', 'big band', 'bolero', 'boogie-woogie', 'calypso', 'ccm', 'christian', 'christian alternative rock', 'christian pop', 'christian rock', 'christmas', 'classic country', 'classic rock', 'classic soul', 'classical', 'comedy', 'country', 'country rock', 'disco', 'east coast hip hop', 'easy listening', 'exotica', 'folk', 'folk rock', 'groove metal', 'hard rock', 'heavy metal', 'hip hop', 'honky tonk', 'jazz', 'jazz blues', 'motown', 'musicals', 'neo soul', 'norwegian pop', 'old school hip hop', 'orchestral', 'outlaw country', 'pop', 'quiet storm', 'r&b', 'rock', 'rock and roll', 'rockabilly', 'roots rock', 'singer-songwriter', 'smooth jazz', 'soft pop', 'soft rock', 'soul', 'soundtrack', 'surf rock', 'swedish pop', 'swing music', 'traditional country', 'variété française', 'villancicos', 'vocal jazz', 'worship', 'yacht rock']",66
Filtr US,https://open.spotify.com/user/myplay.com,College 101,https://open.spotify.com/playlist/0VkhN48djiq7VMzTc2nuZ9,35577,131,"Perfect for your pre-game or after-party featuring hits from Travis Scott, Lil Nas X, and Doja Cat | Cover: Cochise",134,71.17840375586854,13688318.436619718,"['Electronic', 'Hip Hop', 'Pop', 'R&B & Soul', 'Regional', 'Rock']",6,"['afro r&b', 'afrobeat', 'afrobeats', 'afropiano', 'afropop', 'afroswing', 'alternative r&b', 'alté', 'anime', 'bass house', 'brooklyn drill', 'champeta', 'chicago drill', 'cloud rap', 'colombian pop', 'dancehall', 'dembow', 'drill', 'east coast hip hop', 'edm', 'electrocumbia', 'emo rap', 'flamenco', 'flamenco pop', 'flamenco urbano', 'future house', 'hip hop', 'horrorcore', 'house', 'indie', 'italian trap', 'j-pop', 'j-rap', 'jersey club', 'k-pop', 'latin', 'latin afrobeats', 'latin alternative', 'latin pop', 'melodic rap', 'merengue', 'neo soul', 'neoperreo', 'new york drill', 'philly club', 'pop urbano', 'r&b', 'rage rap', 'rap', 'rap rock', 'reggaeton', 'stutter house', 'trap latino', 'trap metal', 'uk drill', 'uk grime', 'uk r&b', 'underground hip hop', 'urbano latino', 'west coast hip hop']",60
Filtr US,https://open.spotify.com/user/myplay.com,throwback bangers (90s - 2010s),https://open.spotify.com/playlist/0YMVY3uhQNd7WUf0hSByrX,309204,128,throwback hits | 1990s | 2000s | Y2K | 10s | pop | nostalgia | throwback jams | top throwback hits | 2000s hits | party | tlc | destiny's child | christina aguilera | usher | t-pain | chris brown | mariah carey | fugees | nelly furtado | beyonce | justin timberlake | nsync | one direction,113,71.1864406779661,7891715.937853107,"['Blues', 'Electronic', 'Hip Hop', 'Pop', 'Punk', 'R&B & Soul', 'Regional', 'Rock', 'Traditional Folk']",9,"['blues', 'christmas', 'crunk', 'disco', 'east coast hip hop', 'edm', 'emo', 'freestyle', 'french house', 'french pop', 'funk', 'gangster rap', 'grunge', 'hardcore hip hop', 'hip hop', 'horrorcore', 'latin pop', 'miami bass', 'native american music', 'neo soul', 'new jack swing', 'nu disco', 'old school hip hop', 'pop', 'pop punk', 'post-grunge', 'quiet storm', 'r&b', 'rap', 'rock', 'southern hip hop', 'uk garage']",32
Filtr US,https://open.spotify.com/user/myplay.com,Old Christmas Classics 🎄,https://open.spotify.com/playlist/0ZKUgaB3lQ5F3ooRoMdFdI,30915,159,Classic Christmas | Vintage Christmas | Old Christmas | Christmas | Holiday | Christmas Oldies | Nostalgic Christmas | Christmas Songs | Christmas Music | Best Christmas | 1940s | 1950s | 1960s | Classic,57,68.35567010309278,1704178.2216494845,"['Classical', 'Country', 'Easy Listening', 'Folk', 'Jazz', 'Pop', 'R&B & Soul', 'Regional', 'Religious', 'Rock', 'Traditional Folk']",11,"['adult standards', 'baroque pop', 'bhajan', 'big band', 'bubblegum pop', 'calypso', 'choral', 'christmas', 'classic country', 'classic soul', 'country', 'devotional', 'disco', 'doo-wop', 'easy listening', 'exotica', 'folk', 'gregorian chant', 'honky tonk', 'jazz', 'jazz blues', 'motown', 'opera', 'orchestral', 'outlaw country', 'rock and roll', 'rockabilly', 'sea shanties', 'soul', 'swing music', 'traditional country', 'villancicos', 'vocal jazz']",33
