playlist_id,playlist_name,playlist_url,curator_name,curator_url,followers,total_tracks,description,image_url,public,keywords
0qYAqOsMGJPntjVEKV5WOF,indie rock 🎸🌱,https://open.spotify.com/playlist/0qYAqOsMGJPntjVEKV5WOF,MattLuciano2,https://open.spotify.com/user/nateccc321,93056.0,235.0,,https://mosaic.scdn.co/640/ab67616d00001e020c8ac83035e9588e8ad34b90ab67616d00001e0288a4a43acf0d1901da9d2975ab67616d00001e0298526846ff341ae71e5c3818ab67616d00001e02fb1cb900d28642e668d77b12,True,"['indie', 'indie pop', 'indie rock']"
0Sm64Lu6z1OK8yM3Oeo4Wx,Best indie songs of all time ,https://open.spotify.com/playlist/0Sm64Lu6z1OK8yM3Oeo4Wx,Jen Affleck,https://open.spotify.com/user/jennifer.knupfer,58849.0,92.0,,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8448374d513f803d8575ad33d0,True,"['indie', 'indie folk', 'indie pop', 'indie rock']"
30QV4edB1roGt1FnTNxqy1,An actual good indie playlist,https://open.spotify.com/playlist/30QV4edB1roGt1FnTNxqy1,Mehyo,https://open.spotify.com/user/37kwtax49mqtt50d1twxf22cn,24160.0,304.0,Read the title ,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000d72c2a8abc6ffa63ce2441ed0aaf,True,"['bedroom pop', 'indie', 'indie folk', 'indie pop', 'indie rock']"
2MsGtroclirkNnI6snEoxk,Indie Folk 2025 ✨,https://open.spotify.com/playlist/2MsGtroclirkNnI6snEoxk,Indie Folk Central,https://open.spotify.com/user/ykxuknpdqe4vrfi4lrn2gb76p,56686.0,100.0,"Discover the Best and Latest indie folk, acoustic and singer-songwriter songs! // <a href=""https://ifc.sbmt.to"">YouTube</a> // <a href=""https://ifc.sbmt.to"">Our Albums</a> // For song submissions <a href=""https://sbmt.to/indiefolkcentral"">go here</a> :) Enjoy",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84927b47602d789a9157575b0a,True,"['indie', 'indie folk']"
2KdttwbecNjhBSNysG0qXr,Indie playlist,https://open.spotify.com/playlist/2KdttwbecNjhBSNysG0qXr,SallyFaceGame.lover,https://open.spotify.com/user/31tflo4m2jdd2czqkmpnt2jxetcq,1007.0,67.0,a playlist for people who like indie also thanks for 200 saves pls check out my other playlists,https://mosaic.scdn.co/640/ab67616d00001e0232f5fec7a879ed6ef28f0dfdab67616d00001e024ae1c4c5c45aabe565499163ab67616d00001e024c27d14a19e67dac23661031ab67616d00001e02e1bc1af856b42dd7fdba9f84,True,"['indie', 'indie pop', 'indie rock']"
50Tw4A06S6mtN7hlT3QRFl,comfy indie folk fall,https://open.spotify.com/playlist/50Tw4A06S6mtN7hlT3QRFl,MattLuciano2,https://open.spotify.com/user/v6s8zppte36dyelfpu3fobqyo,14380.0,218.0,golden hour indie folk ,https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da84ba62759f29c9b82fb31a3c1a,True,"['indie', 'indie folk']"
53zrHVVw96Jo2wrvZEaRci,if ur listening to this your probably in love pt. #1,https://open.spotify.com/playlist/53zrHVVw96Jo2wrvZEaRci,iris <3,https://open.spotify.com/user/63z4cwjg5rr29lfclx15c56r9,5793.0,121.0,indie rock songs about love,https://mosaic.scdn.co/640/ab67616d00001e0247fb9584a92fac92a3c5875bab67616d00001e02589ec50a427b005cba7bb21cab67616d00001e0284feca0133d9a8e6539a8325ab67616d00001e02fc685af465876c629ad111ef,True,"['indie', 'indie pop', 'indie rock']"
0JTZ9k6LOpdUkMtEAK8Oer,quiet coffee morning,https://open.spotify.com/playlist/0JTZ9k6LOpdUkMtEAK8Oer,Brooke,https://open.spotify.com/user/brooke4140,34994.0,153.0,"slowly waking up for a peaceful morning. soft, comforting, bittersweet. indie folk. if bloom by the paper kites was a playlist.",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8420fdfc08b3bd9a2b580055c4,True,"['indie', 'indie folk']"
4ju3GRslLp9x9aKLUu1lKc,Indie Sleaze Bangers,https://open.spotify.com/playlist/4ju3GRslLp9x9aKLUu1lKc,Yolanda Carmen Perez,https://open.spotify.com/user/1256294000,52796.0,419.0,,https://mosaic.scdn.co/640/ab67616d00001e023437e8bbed340ca556c42c04ab67616d00001e028b32b139981e79f2ebe005ebab67616d00001e02919b670c83fc757159b3147aab67616d00001e02eabfe5d94aad05cb6485444b,True,['indie']
3sCXpyujWoLScwx3HhvRtf,2010's Alternative/Indie Pop,https://open.spotify.com/playlist/3sCXpyujWoLScwx3HhvRtf,gabemendezm1,https://open.spotify.com/user/gabemendezm1,18953.0,121.0,"What you listened to 2010-2015 to try and seem cool, but now it&#x27;s the only type of music that feels real",https://mosaic.scdn.co/640/ab67616d00001e029cca0d695187fbeed4ee301bab67616d00001e02acbe616ad7ba01c2f335dd0aab67616d00001e02ad4c64d56570e6137b02fa54ab67616d00001e02d84a9bbcba91cb6a4a212b1b,True,"['indie', 'indie pop', 'indie rock']"
